Id,front_camera,resolution_width,mobile_weight,screen_width,talk_time,touch_screen,clock_speed,ram,bluetooth,battery_power,internal_memory,primary_camera,mobile_depth,dual_sim,resolution_height,wifi,4g,3g,n_cores,screen_height,price_range
0,1,1912,157,4,5,yes,2.7,3548,yes,1035,40,15,0.2,no,757,yes,no,no,5,14,high
1,3,1264,86,2,15,yes,1.3,2479,no,1923,24,4,1,no,874,no,no,yes,4,9,medium
2,2,1838,187,1,20,yes,2.8,1412,no,1299,60,6,0.8,yes,1333,yes,no,no,8,13,low
3,0,1136,101,8,20,no,1.3,2478,no,1949,23,1,0.1,yes,839,no,no,yes,5,14,high
4,0,1203,155,5,8,yes,0.5,2746,no,668,3,13,0.1,yes,666,yes,no,yes,5,9,medium
5,1,1811,195,3,4,no,1.8,819,yes,648,60,4,0.1,no,931,no,yes,yes,4,10,very low
6,18,1039,171,3,20,yes,2.3,1220,yes,1731,60,20,0.5,yes,142,no,no,no,4,9,low
7,0,1019,104,0,3,yes,0.5,2968,no,1880,7,1,0.6,no,890,no,yes,yes,4,9,high
8,8,1026,142,6,4,no,1,392,no,605,9,16,0.1,no,160,no,yes,yes,3,15,very low
9,3,1933,125,11,15,yes,2.9,2589,no,1220,62,8,0.5,no,403,yes,no,yes,4,19,medium
10,4,1873,198,3,3,no,2.2,751,yes,890,44,13,0.5,yes,1074,no,no,no,8,7,very low
11,2,1223,193,9,13,no,0.9,2239,yes,1726,51,3,0.6,yes,379,yes,no,yes,4,13,medium
12,1,1182,183,1,15,yes,0.5,2832,no,1430,27,16,0.5,yes,1132,yes,no,no,1,7,medium
13,0,1090,115,13,9,yes,2.9,2192,no,940,16,1,0.7,no,499,yes,no,yes,4,15,low
14,3,1400,156,6,2,no,0.7,2096,yes,643,23,9,0.8,yes,314,no,yes,yes,1,13,low
15,0,1923,80,15,6,no,0.7,3957,yes,1283,27,6,0.2,yes,1135,no,yes,yes,4,17,high
16,7,1787,138,0,19,yes,0.8,2648,no,733,16,12,0.4,no,202,no,no,yes,4,12,medium
17,6,1337,181,9,6,no,0.7,3169,yes,612,35,12,0.6,no,1294,no,no,no,5,14,medium
18,7,1004,98,8,16,no,2.5,2528,yes,1237,13,12,0.8,no,18,no,no,no,4,11,medium
19,1,1046,182,3,9,no,1.5,1017,no,1862,62,2,1,no,386,no,no,yes,1,11,low
20,0,1409,146,2,12,no,2.4,3598,yes,1558,27,1,0.1,no,120,yes,yes,yes,1,9,high
21,1,810,130,4,5,yes,1.3,3226,yes,1717,62,3,0.7,no,609,no,no,no,1,6,high
22,8,789,139,1,7,yes,2.2,3904,yes,1576,5,17,0.7,no,258,yes,no,yes,3,5,high
23,6,1259,134,4,15,no,2.3,1955,yes,1872,44,15,0.7,no,459,yes,no,yes,3,9,medium
24,5,559,139,2,3,yes,1.5,2711,no,1878,56,13,0.3,yes,183,yes,yes,yes,5,8,medium
25,12,1344,112,2,16,yes,1.6,757,yes,1100,15,14,0.1,no,919,yes,no,yes,8,12,very low
26,12,884,162,7,7,yes,1.7,2335,yes,1512,6,17,0.7,no,205,yes,no,yes,7,15,medium
27,0,1247,89,15,4,yes,2.1,1210,no,730,4,2,0.1,yes,302,yes,yes,yes,8,19,very low
28,1,1398,141,0,5,yes,0.5,1702,yes,507,32,11,0.5,yes,936,yes,no,yes,7,17,low
29,9,872,162,1,15,no,0.5,770,no,1837,36,20,0.9,no,786,yes,no,no,4,14,very low
30,3,1330,109,12,9,yes,2.1,999,yes,1061,52,4,0.1,no,138,no,yes,yes,7,16,very low
31,13,1263,179,6,10,yes,0.5,815,no,1671,5,18,0.9,yes,398,yes,no,yes,8,16,very low
32,13,1611,98,8,13,yes,0.5,898,yes,984,42,17,0.8,no,1036,no,yes,yes,7,16,very low
33,1,1603,90,0,5,yes,0.5,3746,yes,591,16,17,0.9,yes,892,no,yes,yes,6,5,high
34,14,1262,83,6,11,no,1.3,463,yes,1330,3,17,0.3,yes,980,yes,no,no,5,14,very low
35,1,997,93,9,12,yes,1.6,1601,yes,718,30,12,0.4,yes,662,yes,yes,yes,3,10,low
36,7,774,95,0,13,no,0.5,3165,no,1986,51,9,0.4,no,342,no,no,yes,3,5,high
37,6,1307,119,5,4,yes,1.6,3429,yes,1725,6,18,0.5,yes,609,no,yes,yes,2,6,high
38,7,849,155,10,20,yes,1.5,1919,no,1063,3,10,0.9,no,394,no,no,yes,4,12,low
39,0,1623,132,4,15,no,1.4,2614,yes,1632,41,1,0.1,no,706,no,no,yes,4,5,medium
40,0,1055,135,15,17,no,2,3397,yes,729,14,2,0.6,no,563,yes,no,yes,6,19,medium
41,10,1504,172,4,19,no,1.2,3142,yes,1278,60,14,0.6,no,1244,yes,yes,yes,7,11,high
42,3,1767,87,0,12,no,0.6,347,yes,1402,46,12,0.3,yes,1081,yes,no,yes,7,17,very low
43,0,1722,158,13,20,no,2.8,1193,no,1065,21,3,0.1,yes,760,yes,yes,yes,5,16,low
44,1,728,87,5,16,no,0.5,3860,no,752,48,13,0.7,yes,164,no,no,no,7,7,high
45,0,1988,136,3,7,yes,0.5,2631,yes,1021,53,6,0.7,yes,905,no,yes,yes,3,17,medium
46,0,1098,113,1,16,no,2.5,1280,no,1392,44,2,0.7,no,482,yes,yes,yes,4,8,low
47,2,738,154,11,2,no,1.9,412,yes,1897,54,7,0.3,no,630,no,yes,yes,2,17,very low
48,4,1055,154,4,13,no,2.1,3705,no,1057,5,13,0.5,no,416,no,no,yes,5,6,high
49,3,1228,120,2,11,yes,1.7,2509,no,510,35,6,0.8,yes,382,yes,no,no,3,17,low
50,7,1626,111,9,6,yes,0.5,912,yes,1043,42,8,0.1,no,716,no,no,no,3,16,very low
51,0,1233,168,6,14,no,0.5,1069,no,1414,15,0,0.8,no,294,no,yes,yes,2,18,very low
52,6,755,118,4,18,no,1.5,1693,yes,1379,9,13,0.8,no,98,yes,yes,yes,8,11,low
53,6,1489,143,5,11,yes,0.5,2822,no,1517,48,14,0.6,no,802,yes,yes,yes,5,15,high
54,3,1358,165,12,3,yes,0.5,1614,no,1986,51,20,0.1,yes,282,yes,yes,yes,8,17,low
55,11,1134,158,3,15,no,0.8,2627,no,1147,28,13,0.7,yes,1085,yes,no,yes,6,18,medium
56,13,1212,141,2,15,yes,1.2,1411,yes,1821,44,14,0.6,no,1208,no,yes,yes,2,8,low
57,7,937,193,3,20,no,2.7,725,yes,1372,34,17,0.4,no,687,no,no,yes,4,11,very low
58,8,812,200,6,8,no,2.4,776,no,1489,32,16,0.6,yes,172,no,no,no,1,7,very low
59,1,1227,141,7,17,no,0.5,3314,yes,1766,16,7,0.6,yes,125,yes,no,no,5,9,high
60,0,970,125,7,13,no,0.6,1300,no,1365,31,0,0.3,no,293,yes,yes,yes,4,14,very low
61,5,544,136,7,7,no,0.6,3212,no,1039,6,8,0.1,no,62,yes,yes,yes,6,15,medium
62,0,816,122,11,2,no,2.6,1593,no,595,20,18,0.4,no,623,yes,yes,yes,2,19,very low
63,14,1183,117,14,5,no,2.4,1907,yes,826,57,17,0.6,yes,1077,no,yes,yes,2,15,low
64,1,613,82,5,10,yes,2.2,722,no,1991,42,13,0.7,yes,366,no,yes,yes,1,6,very low
65,0,501,116,3,8,no,1.3,3914,no,1348,43,6,0.4,no,204,yes,no,yes,5,10,high
66,9,773,97,0,4,yes,0.5,594,yes,909,30,10,0.4,yes,290,yes,no,yes,3,12,very low
67,11,1305,158,14,2,yes,2.9,2857,no,1537,46,17,0.8,no,686,yes,yes,yes,4,17,high
68,12,1517,92,6,16,no,2.4,1277,no,1885,14,15,0.6,yes,1406,yes,yes,yes,4,9,low
69,11,1586,188,2,10,yes,1.1,2339,no,618,45,20,0.2,no,1175,no,yes,yes,3,19,medium
70,3,1263,200,7,10,no,0.5,478,no,851,21,7,0.4,no,1171,yes,no,yes,5,12,very low
71,3,1782,89,4,20,no,2.5,1444,yes,1866,47,9,0.8,yes,358,no,yes,yes,5,7,low
72,2,821,160,0,17,yes,1.1,1663,no,827,18,16,0.9,yes,448,yes,yes,yes,2,14,very low
